Backbone,Alpha,Temperature,ECE_Pre,ECE_Post,Marginal_Coverage,Avg_Set_Size,Singleton_Rate,AURC_Softmax,AURC_MC_Dropout
densenet121,0.05,0.6318621039390564,0.1854741905822235,0.06521551138689728,0.9761904761904762,5.833333333333333,0.023809523809523808,0.13592365685521746,0.13703772118666427
densenet121,0.1,0.6318621039390564,0.1854741905822235,0.06521551138689728,0.95578231292517,5.156462585034014,0.04081632653061224,0.13592365685521746,0.13703772118666427
densenet121,0.2,0.6318621039390564,0.1854741905822235,0.06521551138689728,0.9251700680272109,4.170068027210885,0.10204081632653061,0.13592365685521746,0.13703772118666427
resnet50,0.05,0.5950567722320557,0.1912296176666305,0.07867988107763994,0.9829931972789115,6.003401360544218,0.027210884353741496,0.1250776814158841,0.13653807270228702
resnet50,0.1,0.5950567722320557,0.1912296176666305,0.07867988107763994,0.9523809523809523,4.938775510204081,0.04421768707482993,0.1250776814158841,0.13653807270228702
resnet50,0.2,0.5950567722320557,0.1912296176666305,0.07867988107763994,0.9251700680272109,3.860544217687075,0.16666666666666666,0.1250776814158841,0.13653807270228702
efficientnet_b3,0.05,0.7288007736206055,0.11238493856524125,0.05005182675561126,0.9795918367346939,6.258503401360544,0.023809523809523808,0.13765820549146018,0.14799481577718945
efficientnet_b3,0.1,0.7288007736206055,0.11238493856524125,0.05005182675561126,0.9489795918367347,4.925170068027211,0.05102040816326531,0.13765820549146018,0.14799481577718945
efficientnet_b3,0.2,0.7288007736206055,0.11238493856524125,0.05005182675561126,0.9217687074829932,3.931972789115646,0.10884353741496598,0.13765820549146018,0.14799481577718945
mobilenet_v3_large,0.05,0.637622594833374,0.18167115190402183,0.0870290325612438,0.9829931972789115,6.340136054421769,0.023809523809523808,0.1596550481602288,0.17011145804797834
mobilenet_v3_large,0.1,0.637622594833374,0.18167115190402183,0.0870290325612438,0.9387755102040817,5.034013605442177,0.05782312925170068,0.1596550481602288,0.17011145804797834
mobilenet_v3_large,0.2,0.637622594833374,0.18167115190402183,0.0870290325612438,0.9285714285714286,4.14625850340136,0.11564625850340136,0.1596550481602288,0.17011145804797834
swin_t,0.05,0.7237427830696106,0.13468800951428966,0.04637915027790328,0.9965986394557823,6.292517006802721,0.02040816326530612,0.11578109161940747,0.11960290933577572
swin_t,0.1,0.7237427830696106,0.13468800951428966,0.04637915027790328,0.9523809523809523,4.598639455782313,0.07142857142857142,0.11578109161940747,0.11960290933577572
swin_t,0.2,0.7237427830696106,0.13468800951428966,0.04637915027790328,0.935374149659864,3.506802721088435,0.2108843537414966,0.11578109161940747,0.11960290933577572
